Name,District,Description,Region,Category,Eestimated_time_to_visit,Foreign_Adult,Foreign_Child,Local_Adult,Local_Child,Student,Free_Entry,Latitude,Longitude,Is_Free,Category_Popularity,Avg_Cost,Cost_Category,Time_Category,Distance_from_Colombo,District_Encoded,Region_Encoded,Category_Encoded,Cluster
Bellanwila Park,Colombo,"Stretching along the peaceful Weras Lake, Bellanwila Park is a scenic 3â¯km loop ideal for jogging, cycling, or a sunset stroll. With well-maintained walking tracks, bike rentals, and a lakeside food court, it's a relaxing urban escape that locals love",West,Nature,2.0,0.0,0.0,0.0,0.0,0.0,No,6.961217006304356,79.84371577431713,0,159,0.0,,Short,4.238970366331458,5,10,83,0
Bellanwila Rajamaha Viharaya,Colombo,"A tranquil temple haven rooted in over 2,300 years of sacred tradition, this revered shrine features one of the thirty-two ancient Bo saplings from the original Anuradhapura Jaya Sri Maha Bodhi.",West,Religious,2.0,0.0,0.0,0.0,0.0,0.0,No,6.944991930230483,79.84854127632461,0,140,0.0,,Short,2.4232487288689684,5,10,125,0
Mount Lavinia Beach,Colombo,"Mount Lavinia Beach is a vibrant coastal destination in Colombo, offering a golden stretch of sand perfect for swimming, sunbathing, and enjoying the Indian Ocean's gentle waves",West,Beach,2.0,0.0,0.0,0.0,0.0,0.0,No,6.942848013016484,79.87316589316367,0,58,0.0,,Short,2.1867160826653,5,10,11,0
Kelaniya Raja Maha Viharaya,Colombo,"Sacred, historic temple said to be visited by the Buddha with paintings by a renowned artist.

 ",West,Religious,2.0,0.0,0.0,0.0,0.0,0.0,No,6.88629120158865,79.86236485640502,0,140,0.0,,Short,4.514894403878173,5,10,125,0
Crow Island Beach Park,Colombo,"Nestled in Colombo's northern suburbs, Crow Island Beach Park is a tranquil coastal retreat offering scenic walking trails, a children's playground, and a unique mangrove forest",West,Beach,2.0,0.0,0.0,0.0,0.0,0.0,No,6.917126592093973,79.81253757213578,0,58,0.0,,Short,5.489792877259986,5,10,11,0
Jami Ul-Alfar Mosque-Red Church,Colombo,"A dazzling eyeâcatcher in red and white striped elegance, the Red Mosque stands in Colomboâs bustling Pettah districtâa visual delight and spiritual hub built in just one year (1908â1909)",West,Religious,2.0,0.0,0.0,0.0,0.0,0.0,No,6.948067667171758,79.89609521993323,0,140,0.0,,Short,4.499747520762034,5,10,125,0
Water World Kelaniya,Colombo,"Water World Kelaniya is Sri Lankaâs premier public aquarium, featuring over 500 species of aquatic life, including rare creatures like the Arapaima and electric eel. ",West,Adventure,2.0,0.0,0.0,0.0,0.0,0.0,No,6.933929398042377,79.88331609388595,0,5,0.0,,Short,2.558117693829904,5,10,1,0
Floating Market - Pettah,Colombo,"Nestled along the Beira Lake in the heart of Colombo, the Pettah Floating Market is a vibrant blend of tradition and modernity, featuring 92 floating and canal-side stalls offering local produce, handicrafts, and street food.",West,Urban,2.0,0.0,0.0,0.0,0.0,0.0,No,6.938023887139322,79.81661635937537,0,20,0.0,,Short,5.07292969363137,5,10,166,0
Maligathenna Raja Maha Viharaya,Gampaha,"A peaceful ancient rock temple surrounded by forests, known for its hidden caves, scenic views, and tranquil meditation-friendly environment.",Western,Religious,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.12301080938527,79.9943644203149,1,140,0.0,,Short,26.189555184114358,7,11,125,0
Meethirigala Nissarana Forest,Gampaha,"A renowned forest monastery and meditation center offering complete silence, calm jungle paths, and a serene escape for spiritual seekers.",Western,Nature,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.053782907553583,80.02130977954774,1,159,0.0,,Short,22.567141078756844,7,11,83,0
Werahera Natural Bathing Pool,Gampaha,"A clean and shallow natural river pool popular among locals for a refreshing dip, perfect for families and nature lovers seeking a quiet swim.",Western,Nature,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.042097409582021,80.02538835706686,1,159,0.0,,Short,22.15610834653697,7,11,83,0
Dungalpitiya Beach,Gampaha,"A calm and lesser-known coastal stretch with golden sands and beautiful sunsets, great for a peaceful evening walk or a relaxing sea breeze.",Western,Beach,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.1260220307812405,79.96053651356237,1,58,0.0,,Short,24.584911961422097,7,11,11,0
Kelaniya Water World,Gampaha,"A lively water park featuring thrilling slides, lazy rivers, and splash pools, ideal for families and groups seeking a fun-filled aquatic escape.",Western,Adventure,4.0,3500.0,2500.0,2000.0,1500.0,1000.0,No,7.1034620928228245,79.99004801821324,0,5,2750.0,Premium,Medium,24.147228795964672,7,11,1,5
Muthurajawela,Gampaha,"A lush wetland eco-reserve with boat rides through mangrove forests and birdwatching opportunities, perfect for nature lovers and photographers.",Western,Nature,2.5,0.0,0.0,0.0,0.0,0.0,Yes,7.077191671958509,79.9834660281376,1,159,0.0,,Short,21.401680293058067,7,11,83,0
Thewatta Church - Ragama,Gampaha,"A historic Roman Catholic church featuring colonial-style architecture and peaceful surroundings for prayer, reflection, and cultural insight.",Western,Religious,1.0,0.0,0.0,0.0,0.0,0.0,Yes,7.1050811155281055,80.00539990717307,1,140,0.0,,Quick,25.323494339113065,7,11,125,0
Bopitiya Beach,Gampaha,"A quiet and uncrowded stretch of beach ideal for picnics, sunset views, and relaxing walks away from the tourist rush.",Western,Beach,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.084821938052738,79.95789871521485,1,58,0.0,,Short,20.454949206131612,7,11,11,0
Uswetakeiyawa Beach,Gampaha,"A popular seaside destination known for calm waters, seafood stalls, and scenic views, perfect for family outings and swimming.",Western,Beach,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.076981589849286,79.99002110046708,1,58,0.0,,Short,21.84848080233716,7,11,11,0
Preethipura Beach,Gampaha,"A peaceful, less-crowded beach with soft sands and gentle waves, ideal for quiet relaxation, sea bathing, and watching local fishermen at work.",Western,Beach,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.103423112301302,80.01949907117121,1,58,0.0,,Short,26.194737190835504,7,11,11,0
Dikkanda Walawwa,Gampaha,"A colonial-era ancestral mansion reflecting Sri Lankan architectural elegance, now a private heritage site occasionally open for cultural visits.",Western,Historical,1.5,500.0,250.0,300.0,200.0,150.0,No,7.11119026438846,80.03533538359638,0,71,400.0,Mid-Range,Short,28.011911031172975,7,11,48,0
Lunugama Raja Peella,Gampaha,"A natural freshwater spring with historical significance, surrounded by forest, offering a refreshing dip and a tranquil picnic spot.",Western,Nature,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.099692941336853,79.98013214709566,1,159,0.0,,Short,23.17344155414303,7,11,83,0
Dehiella Waterfall,Gampaha,"A hidden gem waterfall nestled in forest cover, perfect for a short hike and enjoying unspoiled nature and a cool bath under the cascading waters.",Western,Nature,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.133105252581989,80.04861103852312,1,159,0.0,,Short,30.7863658211365,7,11,83,0
Alawala Cave,Gampaha,"A prehistoric limestone cave featuring unique rock formations, attracting explorers and nature enthusiasts interested in Sri Lankas ancient past.",Western,Adventure,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.088432763101491,79.98420609812675,1,5,0.0,,Short,22.42897912545593,7,11,1,0
Dutch Fort,Gampaha,"A small colonial fort in Negombo built by the Portuguese and modified by the Dutch, offering historical charm and views of the lagoon.",Western,Historical,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.064406806569201,79.99611084512787,1,71,0.0,,Short,21.27916194906389,7,11,48,0
Negombo Prison,Gampaha,"A colonial-era structure still in use, visible from outside only; historically significant but restricted to public access.",Western,Historical,1.0,0.0,0.0,0.0,0.0,0.0,Yes,7.088379275312142,79.96856804057036,1,71,0.0,,Quick,21.421126654071156,7,11,48,0
Browns Beach,Gampaha,"A well-known beach in Negombo with golden sands, calm waters, and nearby resorts  perfect for swimming, sunbathing, and water activities.",Western,Beach,2.5,0.0,0.0,0.0,0.0,0.0,Yes,7.129829293800857,80.03168740167408,1,58,0.0,,Short,29.282853726384786,7,11,11,0
Ganekanda Mountain,Gampaha,"A scenic mountain trail offering panoramic views, a peaceful forested climb, and an adventurous experience for nature lovers and hikers.",Western,Nature,2.5,0.0,0.0,0.0,0.0,0.0,Yes,7.121743991224805,80.03143331153895,1,159,0.0,,Short,28.58566000922451,7,11,83,0
Kohobagala Mountain,Gampaha,"A moderately challenging mountain ideal for trekking, surrounded by lush greenery and offering stunning sunrise views from the summit.",Western,Nature,2.5,0.0,0.0,0.0,0.0,0.0,Yes,7.086145237117142,79.96367505163875,1,159,0.0,,Short,20.918353871216272,7,11,83,0
Pettagamkanda Viharaya,Gampaha,"A tranquil hilltop temple surrounded by nature, featuring ancient shrines and panoramic views, perfect for quiet reflection and spiritual visits.",Western,Religious,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.119986259974952,80.03046673249787,1,140,0.0,,Short,28.369070850276433,7,11,125,0
"Tonadiya Falls, Mirigama",Gampaha,"A scenic waterfall nestled in lush greenery near Mirigama, ideal for nature lovers and those looking for a quiet escape and refreshing bath.",Western,Nature,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.114850316417001,80.04350205599613,1,159,0.0,,Short,28.92828891467555,7,11,83,0
Weboda Ancient Raja Maha Viharaya,Gampaha,"A historical Buddhist temple with ancient ruins and sacred stupas, known for its spiritual significance and peaceful forest surroundings.",Western,Religious,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.043800467421982,80.000064795515,1,140,0.0,,Short,20.050290338662343,7,11,125,0
Gampaha Oruthota Walking Trail,Gampaha,"A riverside walking trail perfect for relaxing strolls, birdwatching, and enjoying the calm waters of the Attanagalu Oya.",Western,Scenic,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.0503333166904785,79.99448954498901,1,45,0.0,,Short,20.066267153481473,7,11,145,0
Bandanayake Forest Park,Gampaha,"A well-maintained urban forest park in Gampaha offering shaded trails, picnic spots, and peaceful green surroundings for relaxation and exercise.",Western,Urban/Nature,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.108360480311733,80.04450476557331,1,1,0.0,,Short,28.49627158664305,7,11,178,0
Galindawatta Ambalama,Gampaha,"A traditional wayside rest stop from the Kandyan era, showcasing simple yet elegant heritage architecture and used historically by travelers.",Western,Historical,1.0,0.0,0.0,0.0,0.0,0.0,Yes,7.090447488342177,79.98486763527578,1,71,0.0,,Quick,22.65062841457278,7,11,48,0
Maligathenna Pilikutthu Rajamaha,Gampaha,"An ancient cave temple complex hidden in a forested area, featuring historical murals, stone inscriptions, and a peaceful environment.",Western,Religious,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.055470681285099,79.95224336421863,1,140,0.0,,Short,17.39965766168591,7,11,125,0
Kelaniya Rajamaha Viharaya,Gampaha,"A sacred Buddhist temple believed to be visited by Lord Buddha, famous for its stunning murals, sculptures, and annual Duruthu Perahera festival.",Western,Religious,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.058662286728233,80.03327734922209,1,140,0.0,,Short,23.942066122656655,7,11,125,0
Guruge Nature Park,Gampaha,"A family-friendly theme and nature park combining wildlife exhibits, dinosaur models, cultural replicas, and fun activities for kids.",Western,Adventure,3.0,2000.0,1500.0,1200.0,800.0,600.0,No,7.113634728860962,80.0113495301266,0,5,1600.0,Premium,Short,26.472398112762075,7,11,1,5
Attanagalla Rajamaha Viharaya,Gampaha,"A majestic temple with historical significance as the place where King Siri Sangabo offered his life, featuring ancient ruins and forest serenity.",Western,Religious,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.047285143541244,80.01654503620568,1,140,0.0,,Short,21.70966292529065,7,11,125,0
Nathapola Temple Minuwangoda,Gampaha,"A serene village temple featuring traditional architecture and peaceful surroundings, perfect for quiet reflection and local cultural insight.",Western,Religious,1.0,0.0,0.0,0.0,0.0,0.0,Yes,7.064476380196519,79.9718569988304,1,140,0.0,,Quick,19.50173403331257,7,11,125,0
Gale Devalaya Minuwangoda,Gampaha,"A sacred shrine nestled among rocks and trees, believed to have spiritual powers, attracting devotees for blessings and traditional rituals.",Western,Religious,1.0,0.0,0.0,0.0,0.0,0.0,Yes,7.134927966032739,79.96360954809721,1,140,0.0,,Quick,25.61812725343007,7,11,125,0
Agurukaramulla Temple,Gampaha,"A famous Buddhist temple in Negombo featuring a massive seated Buddha statue, ancient murals, a dragon entrance, and a large stupa.",Western,Religious,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.086847338254569,79.98257931139248,1,140,0.0,,Short,22.18062457507289,7,11,125,0
Hamilton Canal Negombo,Gampaha,"A historic Dutch-built canal running parallel to the coast, offering boat rides, scenic views, and glimpses of Negombo's rich colonial heritage.",Western,Scenic,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.095316101055394,79.95148143511787,1,45,0.0,,Short,21.10892139632798,7,11,145,0
Katunayake Airport,Gampaha,"The main international airport of Sri Lanka (BIA), serving as the gateway to the country, with modern facilities and access to travel services.",Western,Urban,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.10032896625762,79.97548753218683,1,20,0.0,,Short,22.94501774990115,7,11,166,0
Horagolla National Park,Gampaha,"A small but rich biodiversity hotspot with tall trees, rare birds, and wildlife, ideal for nature walks and peaceful exploration.",Western,Nature,2.0,1500.0,800.0,100.0,50.0,50.0,No,7.138539211923847,80.01235265982066,0,159,800.0,Premium,Short,28.734689287670147,7,11,83,5
Manella Waterfall,Gampaha,"A hidden, less-explored waterfall surrounded by forest, offering a refreshing natural bath and quiet retreat for hikers and nature lovers.",Western,Nature,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.112042629173966,79.99764331641954,1,159,0.0,,Short,25.408669178421114,7,11,83,0
Uruwala Walagamba Rajamaha Viharaya,Gampaha,"A sacred Buddhist temple believed to be connected to King Walagamba, featuring ancient architecture and a tranquil atmosphere for spiritual seekers.",Western,Religious,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.061547758729897,80.02167836536334,1,140,0.0,,Short,23.141135247628956,7,11,125,0
Pilikuthtuwa Balumgala,Gampaha,"A rugged mountain peak surrounded by dense forest, popular among trekkers for its challenging trails and spectacular panoramic views.",Western,Nature,3.0,0.0,0.0,0.0,0.0,0.0,Yes,7.047362608610324,79.96545904446279,1,159,0.0,,Short,17.595696577003892,7,11,83,0
Alagiyawanna Falls,Gampaha,"A beautiful cascading waterfall hidden in a lush forest, offering a refreshing spot for bathing and nature photography.",Western,Nature,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.108558763267741,80.01578576513523,1,159,0.0,,Short,26.352409980234953,7,11,83,0
Bopagama Falls,Gampaha,"A serene waterfall located amidst greenery, perfect for a peaceful visit and cooling dip in natures tranquility.",Western,Nature,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.055523104692847,79.97176919003444,1,159,0.0,,Short,18.73440211417187,7,11,83,0
Asgiri Rajamaha Viharaya,Gampaha,"A historic Buddhist monastery in Kandy, famous for its cultural significance and role in the annual Esala Perahera procession.",Central,Religious,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.09808051808355,79.99596872270388,1,140,0.0,,Short,24.06832759879084,7,0,125,3
Dadagamuwa Rajamaha Viharaya,Gampaha,"A historic Buddhist temple known for its ancient statues and peaceful surroundings, offering spiritual calm and cultural insight.",Western,Religious,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.066692863681376,80.03604165729548,1,140,0.0,,Short,24.729677881338148,7,11,125,0
Henarathgoda Flower Garden,Gampaha,"A beautiful botanical garden in Gampaha with a wide variety of tropical and exotic flowers, ideal for nature walks and photography.",Western,Nature,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.1152286556485045,79.99275685643583,1,159,0.0,,Short,25.380086207888734,7,11,83,0
Morawala Beach,Gampaha,"A quiet and pristine beach with soft sand and clear waters, perfect for relaxing, swimming, and peaceful coastal walks.",Western,Beach,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.117835245596432,79.9912739262062,1,58,0.0,,Short,25.52428571886959,7,11,11,0
Rajapaksa Park (Rukmani Devi),Gampaha,"A public park and memorial dedicated to Rukmani Devi, featuring green spaces, sculptures, and areas for family outings and leisure.",Western,Urban,1.0,0.0,0.0,0.0,0.0,0.0,Yes,7.140757474757825,79.9527577103989,1,20,0.0,,Quick,25.70296096861304,7,11,166,0
Negombo Lagoon Islands,Gampaha,"A cluster of small islands rich in mangroves and birdlife, accessible by boat tours, perfect for eco-adventure and wildlife viewing.",Western,Nature,3.0,0.0,0.0,0.0,0.0,0.0,Yes,7.100255358662988,80.00738649188081,1,159,0.0,,Short,25.051954235914987,7,11,83,0
Porutota Beach,Gampaha,"A quiet and scenic beach known for its clean sand and calm waters, ideal for swimming and peaceful relaxation away from crowds.",Western,Beach,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.066746955135409,79.9980378031086,1,58,0.0,,Short,21.612997826125966,7,11,11,0
Maha Oya Estuary,Gampaha,"A biodiverse estuary where the Maha Oya river meets the sea, attracting migratory birds and offering beautiful natural scenery.",Western,Nature,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.058998174316725,80.03791452834481,1,159,0.0,,Short,24.37319071732479,7,11,83,0
St. Mary's Church,Gampaha,"A historic Catholic church known for its colonial architecture and vibrant community services, a peaceful place for worshippers.",Western,Religious,1.0,0.0,0.0,0.0,0.0,0.0,Yes,7.054861329826688,79.99666843698468,1,140,0.0,,Quick,20.584041417500735,7,11,125,0
Duwa Church,Gampaha,"A historic Catholic church located on a small island near Negombo, famous for its scenic views and peaceful atmosphere.",Western,Religious,1.0,0.0,0.0,0.0,0.0,0.0,Yes,7.0593840168407915,79.97233156260891,1,140,0.0,,Quick,19.099987530525457,7,11,125,0
Kadolkele Church,Gampaha,"A small but significant local church, featuring colonial-style architecture and serving as a community worship center.",Western,Religious,1.0,0.0,0.0,0.0,0.0,0.0,Yes,7.060707255159241,80.02741258653158,1,140,0.0,,Quick,23.571794193206042,7,11,125,0
Negombo Main Fish Market,Gampaha,"One of the largest and busiest fish markets in Sri Lanka, offering fresh seafood and a glimpse into the local fishing industry and culture.",Western,Urban,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.134028087849369,79.95339779844969,1,20,0.0,,Short,25.049231990504968,7,11,166,0
Warana Raja Maha Viharaya,Gampaha,"An ancient Buddhist temple known for its historic ruins, peaceful surroundings, and religious significance to local devotees.",Western,Religious,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.080745580847387,80.03116712614539,1,140,0.0,,Short,25.326348926343247,7,11,125,0
Giritale Lake,Polonnaruwa,"A large freshwater reservoir surrounded by forest, popular for birdwatching, boating, and nearby wildlife safaris in Minneriya National Park area.",North Central,Nature,3.0,0.0,0.0,0.0,0.0,0.0,Yes,7.91258413897869,81.00036394734536,1,159,0.0,,Short,166.41064990639282,23,4,83,1
Minneriya Lake,Polonnaruwa,"Famous for the annual elephant gathering, this vast reservoir attracts wildlife enthusiasts and offers boat safaris and spectacular nature views.",North Central,Nature,3.0,0.0,0.0,0.0,0.0,0.0,Yes,7.904245835831146,81.05115192748183,1,159,0.0,,Short,170.10061236089066,23,4,83,1
Medirigiriya Vatadagaya,Polonnaruwa,"An ancient Buddhist stupa and monastic complex with well-preserved ruins, reflecting the rich history of Sri Lankas Anuradhapura period.",North Central,Historical,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.96105412952293,81.01594449787349,1,71,0.0,,Short,171.2408553377062,23,4,48,1
Somawathiya,Polonnaruwa,"A sacred forest monastery located near the Mahaweli River, known for its ancient temples, natural beauty, and peaceful surroundings.",North Central,Religious,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.937620477843552,80.98116337899671,1,140,0.0,,Short,166.6560344913803,23,4,125,1
Borawewa Hot Springs,Polonnaruwa,"Natural hot springs known for their therapeutic properties, offering visitors a relaxing experience surrounded by scenic greenery.",North Central,Nature,1.5,0.0,0.0,0.0,0.0,0.0,Yes,7.9704896869557995,80.99281565812811,1,159,0.0,,Short,170.05432696272064,23,4,83,1
Pimburathewa,Polonnaruwa,"A small village known for traditional rural lifestyle and nearby natural attractions, offering an authentic cultural experience.",North Central,Cultural,1.0,0.0,0.0,0.0,0.0,0.0,Yes,7.976674663520008,81.04633218230359,1,26,0.0,,Quick,174.89219170793874,23,4,27,1
Parakrama Samudra / Sita Palace / Door 10,Polonnaruwa,"A large ancient reservoir with historical significance, nearby ruins of Sita Palace and the famed Door 10 gate, showcasing rich medieval architecture.",North Central,Historical,2.5,0.0,0.0,0.0,0.0,0.0,Yes,7.989640280887707,81.06789927770204,1,71,0.0,,Short,177.62384872873318,23,4,48,1
Polonnaruwa Rock Temple,Polonnaruwa,"A historic rock temple complex with ancient carvings and ruins, offering insight into Polonnaruwas religious and cultural heritage.",North Central,Historical,2.0,0.0,0.0,0.0,0.0,0.0,Yes,7.914237418133699,81.0281305535974,1,71,0.0,,Short,168.85690633110627,23,4,48,1
Manampitiya Bridge,Polonnaruwa,"A historic steel bridge spanning the Mahaweli River, notable for its colonial-era construction and scenic views of the river and surrounding greenery.",North Central,Historical,1.0,0.0,0.0,0.0,0.0,0.0,Yes,7.89924043007176,81.00357826969034,1,71,0.0,,Quick,165.71923790092265,23,4,48,1
Museum of Ancient Technology,Polonnaruwa,"A fascinating museum showcasing traditional Sri Lankan inventions, ancient tools, and historical technologies used in daily life.",North Central,Cultural,1.5,1000.0,500.0,500.0,250.0,200.0,No,7.979317282976455,81.05996751890935,0,26,750.0,Premium,Short,176.21341920570111,23,4,27,5
